Date,Price,Open,High,Low,Vol.,Change
10-Aug-18,207.53,207.36,209.1,206.67,24.61M,-0.65%
9-Aug-18,208.88,207.28,209.78,207.2,23.49M,0.79%
8-Aug-18,207.25,206.05,207.81,204.52,22.53M,0.07%
7-Aug-18,207.11,209.32,209.5,206.76,25.59M,-0.94%
6-Aug-18,209.07,208,209.25,207.07,25.43M,0.52%
3-Aug-18,207.99,207.03,208.74,205.48,33.45M,0.29%
2-Aug-18,207.39,200.58,208.38,200.35,62.40M,2.92%
1-Aug-18,201.5,199.13,201.76,197.31,67.94M,5.89%
31-Jul-18,190.29,190.3,192.14,189.34,39.37M,0.20%
30-Jul-18,189.91,191.9,192.2,189.07,21.03M,-0.56%
27-Jul-18,190.98,194.99,195.19,190.1,24.02M,-1.66%
26-Jul-18,194.21,194.61,195.96,193.61,19.08M,-0.31%
25-Jul-18,194.82,193.06,194.85,192.43,16.83M,0.94%
24-Jul-18,193,192.45,193.66,192.05,18.70M,0.73%
23-Jul-18,191.61,190.68,191.96,189.56,15.99M,0.09%
20-Jul-18,191.44,191.78,192.43,190.17,20.71M,-0.23%
19-Jul-18,191.88,189.69,192.55,189.69,20.29M,0.78%
18-Jul-18,190.4,191.78,191.8,189.93,16.39M,-0.55%
17-Jul-18,191.45,189.75,191.87,189.2,15.53M,0.28%
16-Jul-18,190.91,191.52,192.65,190.41,15.04M,-0.22%
13-Jul-18,191.33,191.08,191.84,190.9,12.52M,0.16%
12-Jul-18,191.03,189.53,191.41,189.31,18.04M,1.68%
11-Jul-18,187.88,188.5,189.78,187.61,18.83M,-1.30%
10-Jul-18,190.35,190.71,191.28,190.18,15.94M,-0.12%
9-Jul-18,190.58,189.5,190.68,189.3,19.76M,1.39%
6-Jul-18,187.97,185.42,188.43,185.2,17.49M,1.39%
5-Jul-18,185.4,185.26,186.41,184.28,16.60M,0.80%
3-Jul-18,183.92,187.79,187.95,183.54,13.95M,-1.74%
2-Jul-18,187.18,183.82,187.3,183.42,17.73M,1.12%
29-Jun-18,185.11,186.29,187.19,182.91,22.74M,-0.21%
28-Jun-18,185.5,184.1,186.21,183.8,17.37M,0.73%
27-Jun-18,184.16,185.23,187.28,184.03,25.29M,-0.15%
26-Jun-18,184.43,182.99,186.53,182.54,24.57M,1.24%
25-Jun-18,182.17,183.4,184.92,180.73,31.66M,-1.49%
22-Jun-18,184.92,186.12,186.15,184.7,27.20M,-0.29%
21-Jun-18,185.46,187.25,188.35,184.94,25.71M,-0.56%
20-Jun-18,186.5,186.35,187.2,185.73,20.63M,0.44%
19-Jun-18,185.69,185.14,186.33,183.45,33.58M,-1.62%
18-Jun-18,188.74,187.88,189.22,187.2,18.48M,-0.05%
15-Jun-18,188.84,190.03,190.16,188.26,61.72M,-1.03%
14-Jun-18,190.8,191.55,191.57,190.22,21.61M,0.05%
13-Jun-18,190.7,192.42,192.88,190.44,21.64M,-0.82%
12-Jun-18,192.28,191.38,192.61,191.15,16.91M,0.55%
11-Jun-18,191.23,191.35,191.97,190.21,18.31M,-0.25%
8-Jun-18,191.7,191.17,192,189.77,26.66M,-0.91%
7-Jun-18,193.46,194.14,194.2,192.34,21.35M,-0.27%
6-Jun-18,193.98,193.63,194.08,191.92,20.93M,0.35%
5-Jun-18,193.31,193.06,193.94,192.36,21.57M,0.77%
4-Jun-18,191.83,191.63,193.42,191.35,26.27M,0.84%
1-Jun-18,190.24,187.99,190.26,187.75,23.44M,1.80%
31-May-18,186.87,187.22,188.23,186.14,27.48M,-0.34%
30-May-18,187.5,187.72,188,186.78,18.69M,-0.21%
29-May-18,187.9,187.6,188.75,186.87,22.51M,-0.36%
25-May-18,188.58,188.23,189.65,187.65,17.46M,0.23%
24-May-18,188.15,188.77,188.84,186.21,23.23M,-0.11%
23-May-18,188.36,186.35,188.5,185.76,20.06M,0.64%
22-May-18,187.16,188.38,188.88,186.78,15.24M,-0.25%
21-May-18,187.63,188,189.27,186.91,18.40M,0.71%
18-May-18,186.31,187.19,187.81,186.13,18.30M,-0.36%
17-May-18,186.99,188,188.91,186.36,17.29M,-0.63%
16-May-18,188.18,186.07,188.46,186,19.18M,0.93%
15-May-18,186.44,186.78,187.07,185.1,23.70M,-0.91%
14-May-18,188.15,189.01,189.53,187.86,20.78M,-0.23%
11-May-18,188.59,189.49,190.06,187.45,26.21M,-0.76%
10-May-18,190.04,187.74,190.37,187.65,27.99M,1.43%
9-May-18,187.36,186.55,187.4,185.22,23.21M,0.70%
8-May-18,186.05,184.99,186.22,183.66,28.40M,0.48%
7-May-18,185.16,185.18,187.67,184.75,42.45M,0.72%
4-May-18,183.83,178.25,184.25,178.17,56.20M,3.92%
3-May-18,176.89,175.88,177.5,174.44,34.07M,0.18%
2-May-18,176.57,175.22,177.75,173.8,66.54M,4.42%
1-May-18,169.1,166.41,169.2,165.27,53.57M,2.32%
30-Apr-18,165.26,162.13,167.26,161.84,42.43M,1.81%
27-Apr-18,162.32,164,164.33,160.63,35.66M,-1.16%
26-Apr-18,164.22,164.12,165.73,163.37,27.96M,0.35%
25-Apr-18,163.65,162.62,165.42,162.41,28.38M,0.44%
24-Apr-18,162.94,165.67,166.33,161.22,33.69M,-1.39%
23-Apr-18,165.24,166.83,166.92,164.09,36.52M,-0.29%
20-Apr-18,165.72,170.59,171.22,165.43,65.49M,-4.10%
19-Apr-18,172.8,174.95,175.39,172.66,34.81M,-2.83%
18-Apr-18,177.84,177.81,178.82,176.88,20.75M,-0.22%
17-Apr-18,178.24,176.49,178.94,176.41,26.61M,1.38%
16-Apr-18,175.82,175.03,176.19,174.83,21.58M,0.62%
13-Apr-18,174.73,174.78,175.84,173.85,25.12M,0.34%
12-Apr-18,174.14,173.41,175,173.04,22.89M,0.99%
11-Apr-18,172.44,172.23,173.92,171.7,22.43M,-0.47%
10-Apr-18,173.25,173,174,171.53,28.61M,1.88%
9-Apr-18,170.05,169.88,173.09,169.84,29.02M,0.99%
6-Apr-18,168.38,170.97,172.48,168.2,35.01M,-2.56%
5-Apr-18,172.8,172.58,174.23,172.08,26.93M,0.69%
4-Apr-18,171.61,164.88,172.01,164.77,34.61M,1.91%
3-Apr-18,168.39,167.64,168.75,164.88,30.28M,1.03%
2-Apr-18,166.68,167.88,168.94,164.47,37.59M,-0.66%
29-Mar-18,167.78,167.81,171.75,166.9,38.40M,0.78%
28-Mar-18,166.48,167.25,170.02,165.19,41.67M,-1.10%
27-Mar-18,168.34,173.68,175.15,166.92,40.92M,-2.56%
26-Mar-18,172.77,168.07,173.1,166.44,37.54M,4.75%
23-Mar-18,164.94,168.39,169.92,164.94,41.03M,-2.32%
22-Mar-18,168.85,170,172.68,168.6,41.49M,-1.41%
21-Mar-18,171.27,175.04,175.09,171.26,37.05M,-2.27%
20-Mar-18,175.24,175.24,176.8,174.94,19.65M,-0.03%
19-Mar-18,175.3,177.32,177.47,173.66,33.45M,-1.53%
16-Mar-18,178.02,178.65,179.12,177.62,39.40M,-0.35%
15-Mar-18,178.65,178.5,180.24,178.07,22.74M,0.12%
14-Mar-18,178.44,180.32,180.52,177.81,29.37M,-0.85%
13-Mar-18,179.97,182.59,183.5,179.24,31.69M,-0.96%
12-Mar-18,181.72,180.29,182.39,180.21,32.21M,0.97%
9-Mar-18,179.98,177.96,180,177.39,32.19M,1.72%
8-Mar-18,176.94,175.48,177.12,175.07,23.77M,1.09%
7-Mar-18,175.03,174.94,175.85,174.27,31.70M,-0.93%
6-Mar-18,176.67,177.91,178.25,176.13,23.79M,-0.08%
5-Mar-18,176.82,175.21,177.74,174.52,28.40M,0.35%
2-Mar-18,176.21,172.8,176.3,172.45,38.45M,0.69%
1-Mar-18,175,178.54,179.78,172.66,48.80M,-1.75%
28-Feb-18,178.12,179.26,180.62,178.05,37.78M,-0.15%
27-Feb-18,178.39,179.1,180.48,178.16,38.93M,-0.32%
26-Feb-18,178.97,176.35,179.39,176.21,38.16M,1.98%
23-Feb-18,175.5,173.67,175.65,173.54,33.81M,1.74%
22-Feb-18,172.5,171.8,173.95,171.71,30.99M,0.84%
21-Feb-18,171.07,172.83,174.12,171.01,37.47M,-0.45%
20-Feb-18,171.85,172.05,174.26,171.42,33.93M,-0.34%
16-Feb-18,172.43,172.36,174.82,171.77,40.18M,-0.32%
15-Feb-18,172.99,169.79,173.09,169,51.15M,3.36%
14-Feb-18,167.37,163.04,167.54,162.88,40.64M,1.84%
13-Feb-18,164.34,161.95,164.75,161.65,32.55M,1.00%
12-Feb-18,162.71,158.5,163.89,157.51,60.82M,4.03%
9-Feb-18,156.41,157.07,157.89,150.24,70.67M,0.81%
8-Feb-18,155.15,160.29,161,155.03,54.39M,-2.75%
7-Feb-18,159.54,163.09,163.4,159.07,51.61M,-2.14%
6-Feb-18,163.03,154.83,163.72,154,68.24M,4.18%
5-Feb-18,156.49,159.1,163.88,156,72.74M,-2.50%
2-Feb-18,160.5,166,166.8,160.1,86.59M,-4.34%
1-Feb-18,167.78,167.16,168.62,166.76,47.23M,0.21%
31-Jan-18,167.43,166.87,168.44,166.5,32.48M,0.28%
30-Jan-18,166.97,165.53,167.37,164.7,46.05M,-0.59%
29-Jan-18,167.96,170.16,170.16,167.07,50.64M,-2.07%
26-Jan-18,171.51,172,172,170.06,39.14M,0.23%
25-Jan-18,171.11,174.5,174.95,170.53,41.53M,-1.79%
24-Jan-18,174.22,177.25,177.3,173.2,51.11M,-1.59%
23-Jan-18,177.04,177.3,179.44,176.82,32.69M,0.02%
22-Jan-18,177,177.3,177.78,176.6,27.11M,-0.82%
19-Jan-18,178.46,178.61,179.58,177.41,32.43M,-0.45%
18-Jan-18,179.26,179.37,180.1,178.25,31.19M,0.09%
17-Jan-18,179.1,176.15,179.25,175.07,34.39M,1.65%
16-Jan-18,176.19,177.9,179.39,176.14,29.57M,-0.51%
12-Jan-18,177.09,176.18,177.36,175.65,25.42M,1.03%
11-Jan-18,175.28,174.59,175.49,174.49,18.67M,0.57%
10-Jan-18,174.29,173.16,174.3,173,23.96M,-0.02%
9-Jan-18,174.33,174.55,175.06,173.41,21.58M,-0.01%
8-Jan-18,174.35,174.35,175.61,173.93,20.57M,-0.37%
5-Jan-18,175,173.44,175.37,173.05,23.66M,1.14%
4-Jan-18,173.03,172.54,173.47,172.08,22.43M,0.46%
3-Jan-18,172.23,172.53,174.55,171.96,29.52M,-0.02%
2-Jan-18,172.26,170.16,172.3,169.26,25.56M,1.79%
29-Dec-17,169.23,170.52,170.59,169.22,26.00M,-1.08%
28-Dec-17,171.08,171,171.85,170.48,16.48M,0.28%
27-Dec-17,170.6,170.1,170.78,169.71,21.50M,0.02%
26-Dec-17,170.57,170.8,171.47,169.68,33.19M,-2.54%
22-Dec-17,175.01,174.68,175.42,174.5,16.35M,0.00%
21-Dec-17,175.01,174.17,176.02,174.1,20.95M,0.38%
20-Dec-17,174.35,174.87,175.42,173.25,23.48M,-0.11%
19-Dec-17,174.54,175.03,175.39,174.09,27.44M,-1.07%
18-Dec-17,176.42,174.88,177.2,174.86,29.42M,1.41%
15-Dec-17,173.97,173.63,174.17,172.46,40.17M,1.02%
14-Dec-17,172.22,172.4,173.13,171.65,20.48M,-0.03%
13-Dec-17,172.27,172.5,173.54,172,23.82M,0.33%
12-Dec-17,171.7,172.15,172.39,171.46,19.41M,-0.56%
11-Dec-17,172.67,169.2,172.89,168.79,35.27M,1.95%
8-Dec-17,169.37,170.49,171,168.82,23.36M,0.03%
7-Dec-17,169.32,169.03,170.44,168.91,25.67M,0.18%
6-Dec-17,169.01,167.5,170.2,166.46,28.56M,-0.37%
5-Dec-17,169.64,169.06,171.52,168.4,27.35M,-0.09%
4-Dec-17,169.8,172.48,172.62,169.63,32.54M,-0.73%
1-Dec-17,171.05,169.95,171.67,168.5,39.76M,-0.47%
30-Nov-17,171.85,170.43,172.14,168.44,41.53M,1.40%
29-Nov-17,169.48,172.63,172.92,167.16,41.67M,-2.07%
28-Nov-17,173.07,174.3,174.87,171.86,26.43M,-0.59%
27-Nov-17,174.09,175.05,175.08,173.34,20.72M,-0.50%
24-Nov-17,174.97,175.1,175.5,174.65,14.03M,0.01%
22-Nov-17,174.96,173.36,175,173.05,25.59M,1.05%
21-Nov-17,173.14,170.78,173.7,170.78,25.13M,1.86%
20-Nov-17,169.98,170.29,170.56,169.56,16.26M,-0.10%
17-Nov-17,170.15,171.04,171.39,169.64,21.90M,-0.56%
16-Nov-17,171.1,171.18,171.87,170.3,23.64M,1.19%
15-Nov-17,169.08,169.97,170.32,168.38,29.16M,-1.32%
14-Nov-17,171.34,173.04,173.48,171.18,24.78M,-1.51%
13-Nov-17,173.97,173.5,174.5,173.4,16.98M,-0.40%
10-Nov-17,174.67,175.11,175.38,174.27,25.15M,-0.69%
9-Nov-17,175.88,175.11,176.09,173.14,29.48M,-0.20%
8-Nov-17,176.24,174.66,176.24,174.33,24.41M,0.82%
7-Nov-17,174.81,173.91,175.25,173.6,24.36M,0.32%
6-Nov-17,174.25,172.37,174.99,171.72,35.03M,1.01%
3-Nov-17,172.5,174,174.26,171.12,59.40M,2.61%
2-Nov-17,168.11,167.64,168.5,165.28,41.39M,0.73%
1-Nov-17,166.89,169.87,169.94,165.61,33.64M,-1.27%
31-Oct-17,169.04,167.9,169.65,166.94,36.05M,1.39%
30-Oct-17,166.72,163.89,168.07,163.72,44.70M,2.25%
27-Oct-17,163.05,159.29,163.6,158.7,44.45M,3.58%
26-Oct-17,157.41,157.23,157.83,156.78,17.00M,0.64%
25-Oct-17,156.41,156.91,157.55,155.27,21.21M,-0.44%
24-Oct-17,157.1,156.29,157.42,156.2,17.76M,0.60%
23-Oct-17,156.17,156.89,157.69,155.5,21.98M,-0.05%
20-Oct-17,156.25,156.61,157.75,155.96,23.97M,0.17%
19-Oct-17,155.98,156.75,157.08,155.02,42.58M,-2.37%
18-Oct-17,159.76,160.42,160.71,159.6,16.37M,-0.44%
17-Oct-17,160.47,159.78,160.87,159.23,19.00M,0.37%
16-Oct-17,159.88,157.9,160,157.65,24.12M,1.84%
13-Oct-17,156.99,156.73,157.28,156.41,16.39M,0.63%
12-Oct-17,156,156.35,157.37,155.73,16.13M,-0.35%
11-Oct-17,156.55,155.97,156.98,155.75,16.91M,0.42%
10-Oct-17,155.9,156.06,158,155.1,15.62M,0.04%
9-Oct-17,155.84,155.81,156.73,155.49,16.26M,0.35%
6-Oct-17,155.3,154.97,155.49,154.56,17.41M,-0.06%
5-Oct-17,155.39,154.18,155.44,154.05,21.28M,1.24%
4-Oct-17,153.48,153.63,153.86,152.46,20.16M,-0.65%
3-Oct-17,154.48,154.01,155.09,153.91,16.23M,0.44%
2-Oct-17,153.81,154.26,154.45,152.72,18.70M,-0.20%
29-Sep-17,154.12,153.21,154.13,152,26.30M,0.55%
28-Sep-17,153.28,153.89,154.28,152.7,22.01M,-0.62%
27-Sep-17,154.23,153.8,154.72,153.54,25.50M,0.71%
26-Sep-17,153.14,151.78,153.92,151.69,36.66M,1.72%
25-Sep-17,150.55,149.99,151.83,149.16,44.39M,-0.88%
22-Sep-17,151.89,152.02,152.27,150.56,46.65M,-0.98%
21-Sep-17,153.39,155.8,155.8,152.75,37.51M,-1.72%
20-Sep-17,156.07,157.9,158.26,153.83,52.95M,-1.68%
19-Sep-17,158.73,159.51,159.77,158.44,20.81M,0.04%
18-Sep-17,158.67,160.11,160.5,158,28.27M,-0.76%
15-Sep-17,159.88,158.47,160.97,158,49.11M,1.01%
14-Sep-17,158.28,158.99,159.4,158.09,23.76M,-0.86%
13-Sep-17,159.65,159.87,159.96,157.91,44.91M,-0.75%
12-Sep-17,160.86,162.61,163.96,158.77,71.71M,-0.40%
11-Sep-17,161.5,160.5,162.05,159.89,31.58M,1.81%
8-Sep-17,158.63,160.86,161.15,158.53,28.61M,-1.63%
